Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Awards
1984-85,19,PIT,NHL,73,43,57,100,-33,54,32,11,0,2,35,22,0,209,20.6,,,"AR-1,AS-7,Calder-1"
1985-86,20,PIT,NHL,79,48,93,141,-8,43,31,17,0,4,44,49,0,276,17.4,,,"AS-2,Byng-20,Hart-2,Pearson-1"
1986-87,21,PIT,NHL,63,54,53,107,12,57,35,19,0,4,34,19,0,267,20.2,,,"AS-2,Byng-18,Hart-4"
1987-88,22,PIT,NHL,77,70,98,168,23,92,38,22,10,7,36,58,4,382,18.3,,,"AS-1,Hart-1,Pearson-1,Ross-1"
1988-89,23,PIT,NHL,76,85,114,199,41,100,41,31,13,8,61,48,5,313,27.2,,,"AS-1,Hart-2,Ross-1"
1989-90,24,PIT,NHL,59,45,78,123,-18,78,28,14,3,4,43,35,0,226,19.9,,,AS-4
1990-91,25,PIT,NHL,26,19,26,45,8,30,12,6,1,2,19,7,0,89,21.3,,,Smythe-1
1991-92,26,PIT,NHL,64,44,87,131,27,94,28,12,4,5,46,35,6,249,17.7,,,"AS-2,Hart-5,Ross-1,Smythe-1"
1992-93,27,PIT,NHL,60,69,91,160,55,38,47,16,6,10,49,39,3,286,24.1,,,"AS-1,Byng-7,Hart-1,Masterton-1,Pearson-1,Ross-1"
1993-94,28,PIT,NHL,22,17,20,37,-2,32,10,7,0,4,12,8,0,92,18.5,,,
1995-96,30,PIT,NHL,70,69,92,161,10,54,30,31,8,8,43,48,1,338,20.4,,,"AS-1,Byng-16,Hart-1,Pearson-1,Ross-1"
1996-97,31,PIT,NHL,76,50,72,122,27,65,32,15,3,7,47,22,3,327,15.3,,,"AS-1,AS-5,Byng-11,Hart-3,Ross-1,Selke-17"
2000-01,35,PIT,NHL,43,35,41,76,15,18,18,16,1,5,25,16,0,171,20.5,1047,24:20:00,"AS-2,Byng-8,Hart-2"
2001-02,36,PIT,NHL,24,6,25,31,0,14,4,2,0,0,13,12,0,75,8,534,22:16,
2002-03,37,PIT,NHL,67,28,63,91,-25,43,14,14,0,4,32,31,0,235,11.9,1546,23:05,"AS-4,Byng-44,Hart-15"
2003-04,38,PIT,NHL,10,1,8,9,-2,6,1,0,0,0,4,4,0,21,4.8,224,22:24,
2005-06,40,PIT,NHL,26,7,15,22,-16,16,4,3,0,0,3,12,0,77,9.1,504,19:22,
